학교명,2018,2019,2020
극동대학교,98.9,100.0,99.1
글로벌사이버대학교,89.3,100.0,85.1
금강대학교,97.9,99.1,81.8
금오공과대학교,99.7,99.8,99.7
김천대학교,95.7,96.6,95.4
꽃동네대학교,100.0,99.1,100.0
나사렛대학교,99.8,99.7,99.9
남부대학교,99.6,99.6,99.3
남서울대학교,100.0,99.9,100.0
단국대학교,99.7,99.9,99.6
단국대학교 _제2캠퍼스,99.6,99.4,99.7
대구가톨릭대학교,100.0,99.9,100.0
대구경북과학기술원,93.6,89.1,105.0
대구교육대학교,100.0,99.7,100.0
대구대학교,98.9,99.7,100.0
대구사이버대학교,68.1,66.2,76.7
대구예술대학교,77.0,74.4,54.0
대구한의대학교,99.9,100.0,99.9
대신대학교,100.0,100.0,100.0
대전가톨릭대학교,22.5,30.0,35.0
대전대학교,99.4,99.6,99.9
대전신학대학교,31.7,28.3,50.0
대진대학교,100.0,100.0,99.9
덕성여자대학교,99.8,99.7,99.7
동국대학교,99.5,98.9,99.8
동국대학교(경주) _분교,99.3,99.4,99.7
동덕여자대학교,99.8,99.5,99.9
동명대학교,99.8,99.9,97.1
동서대학교,100.0,100.2,98.7
동신대학교,99.2,99.9,90.6
동아대학교,99.9,99.7,99.8
동양대학교,100.0,100.0,96.9
동의대학교,100.0,100.0,99.9
디지털서울문화예술대학교,80.6,77.3,77.3
루터대학교,98.8,100.0,100.0
명지대학교,99.5,99.7,99.9
명지대학교 _제2캠퍼스,99.4,99.5,99.4
목원대학교,100.0,99.9,100.0
목포가톨릭대학교,100.0,100.0,100.0
목포대학교,99.0,99.6,99.0
목포해양대학교,99.6,99.7,99.7
배재대학교,99.4,99.7,99.9
백석대학교,99.8,99.5,100.0
부경대학교,99.8,99.6,99.8
부산가톨릭대학교,99.8,100.0,96.2
부산교육대학교,99.7,99.7,100.0
부산대학교,99.8,99.8,99.9
부산디지털대학교,70.7,76.3,78.8
부산외국어대학교,99.8,99.7,100.1
부산장신대학교,95.6,58.0,98.0
사이버한국외국어대학교,80.8,78.7,85.0
삼육대학교,100.0,100.1,99.9
상명대학교,99.8,99.8,99.9
상명대학교 _제2캠퍼스,100.0,99.8,100.0
상지대학교,94.8,98.1,97.5
서강대학교,99.9,99.2,99.5
서경대학교,99.5,99.5,99.8
서울과학기술대학교,99.4,99.6,100.0
서울교육대학교,100.0,99.4,100.0
서울기독대학교,99.3,91.9,92.6
서울대학교,99.8,99.5,99.8
서울디지털대학교,63.4,57.2,66.2
서울사이버대학교,69.5,68.5,82.6
서울시립대학교,99.2,98.5,99.5
서울신학대학교,100.0,100.0,100.0
서울여자대학교,99.8,99.7,99.9
서울장신대학교,100.0,100.0,99.1
서울한영대학교,100.0,98.9,100.0
서원대학교,99.9,99.7,100.0
선문대학교,99.6,100.1,100.0
성결대학교,100.0,99.8,100.0
성공회대학교,99.8,99.6,99.8
성균관대학교,99.9,99.7,99.7
성신여자대학교,100.0,99.9,100.0
세명대학교,99.7,99.8,99.8
세종대학교,99.5,99.4,100.0
세한대학교,100.1,99.9,100.1
송원대학교,99.8,98.9,100.0
수원가톨릭대학교,43.3,36.7,38.9
수원대학교,99.9,99.9,100.0
숙명여자대학교,99.7,99.5,99.6
순천대학교,99.6,99.1,99.4
순천향대학교,99.9,99.7,99.8
숭실대학교,99.6,99.8,99.9
숭실사이버대학교,72.5,73.5,74.8
신경대학교,74.4,89.2,65.4
신라대학교,100.0,100.0,88.3
신한대학교,98.8,98.8,100.0
