,연도,분류,학제,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,학과수_전체,지원자_전체_계,입학자_전체_계,재적생_전체_계,재학생_전체_계,유예생_전체_계,휴학생_전체_계,외국인유학생_학사_계,전임교원_계,비전임교원_계,시간강사_계,직원_계,경도,위도,입학정원,모집인원_정원내,지원자_정원내,입학자_정원내,신입생_충원율
210,2020,university,교육대학,광주교육대학교,기존,본교,광주,광주 북구,국립,주간,"광주광역시 북구 필문대로 55 (풍향동, 광주교육대학교)",13,1663,350,1389,1364,0,25,0,73,118,0,99,126.92715929999999,35.16627262,326.0,327.0,1559.0,327.0,100.0
211,2020,university,교육대학,대구교육대학교,기존,본교,대구,대구 남구,국립,주간,"대구광역시 남구 중앙대로 219 (대명동, 대구교육대학교)",13,1752,413,1658,1620,0,38,0,91,160,0,101,128.5897987,35.85304406,383.0,383.0,1633.0,383.0,100.0
212,2020,university,교육대학,부산교육대학교,기존,본교,부산,부산 연제구,국립,주간,"부산광역시 연제구 교대로 24 (거제동, 부산교육대학교)",13,1772,386,1568,1527,0,41,0,83,137,0,83,129.0728975,35.19450495,356.0,357.0,1649.0,357.0,100.0
213,2020,university,교육대학,서울교육대학교,기존,본교,서울,서울 서초구,국립,주간,"서울특별시 서초구 서초중앙로 96 (서초동, 서울교육대학교,서울교대초등학교)",13,1369,394,1606,1553,0,53,0,93,257,0,169,127.0151788,37.48876279,355.0,355.0,1220.0,355.0,100.0
214,2020,university,교육대학,경인교육대학교,기존,본교,인천,인천 계양구,국립,주간,"인천광역시 계양구 계산로 62 (계산동, 경인교육대학교)",14,2256,656,1313,1289,0,24,0,134,234,0,180,126.7171743,37.53712318,598.0,598.0,2061.0,595.0,99.5
215,2020,university,교육대학,경인교육대학교,기존,제2캠퍼스,경기,경기 안양시,국립,주간,"경기도 안양시 만안구 삼막로 155 (석수동, 경인교육대학교)",14,0,0,1420,1378,0,42,0,0,0,0,0,126.9171145,37.43376032,598.0,598.0,2061.0,595.0,99.5
216,2020,university,교육대학,전주교육대학교,기존,본교,전북,전북 전주시,국립,주간,"전라북도 전주시 완산구 서학로 50 (동서학동, 전주교육대학교)",12,770,297,1214,1190,0,24,0,58,152,0,77,127.1538068,35.80916802,285.0,286.0,742.0,282.0,98.6
217,2020,university,교육대학,진주교육대학교,기존,본교,경남,경남 진주시,국립,주간,"경상남도 진주시 진양호로369번길 3 (신안동, 진주교육대학교)",12,2141,337,1371,1330,0,41,0,68,119,0,89,128.06553689999998,35.18625153,,,,,
218,2020,university,교육대학,청주교육대학교,기존,본교,충북,충북 청주시,국립,주간,"충청북도 청주시 서원구 청남로 2065 (수곡동, 청주교육대학교)",12,1641,306,1234,1191,0,43,0,69,111,0,61,127.4847659,36.61611296,286.0,286.0,1525.0,285.0,99.7
219,2020,university,교육대학,춘천교육대학교,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 공지로 126 (석사동, 춘천교육대학교)",12,2242,342,1365,1333,0,32,0,79,78,0,77,127.7506182,37.85923744,321.0,321.0,2100.0,321.0,100.0
